area,city,floor,location,price,rooms,source,square_price,title,opstina,latitude,longitude
87,Beograd,1," Opština Voždovac, Kumodraška",243600,3.0,halooglasi,2800,Extra Lux stan na Voždovcu-bez provizije,Voždovac,44.7794356,20.4791937
41,Beograd,1," Opština Voždovac, Medaković padina, ",85000,1.5,halooglasi,2073,Dobra ponuda 1.5 Medak ID#128803,Voždovac,44.7719517,20.5006976
70,Beograd,0," Opština Zvezdara, Mirijevo, Aleksandra Belića",77000,2.5,halooglasi,1100,"Mirijevo, Aleksandra Belića, 70 m2 - Hitna prodaja",Zvezdara,44.7873473,20.5446385
69,Beograd,-0.5," Opština Palilula, Karaburma, Aleksandra Fleminga 29",82800,3.0,halooglasi,1200,Karaburma lux,Palilula,44.8130704,20.5125638
15,Beograd,0," Opština Zvezdara, Severni bulevar, Severni bulevar",43000,0.5,halooglasi,2867,Odlična garsonjera na Zvezdari,Zvezdara,44.8104914,20.4933361
55,Beograd,1," Opština Novi Beograd, Tošin bunar, ",179875,2.0,halooglasi,3270,Novogradnja - Tošin bunar,Novi Beograd,44.8163487,20.3972576
115,Beograd,p," Opština Savski venac, Dedinje, Kronštatska",319000,4.0,halooglasi,2774,"Kronštatska, Dedinje, Savski venac",Savski Venac,44.7771618,20.4550006
48,Beograd,p," Opština Vračar, Kalenić pijaca, Požarevačka",180000,2.0,halooglasi,3750,Požarevačka Kalenić pijaca Vračar Beograd Srbij...,Vračar,44.8000554,20.4755014
87,Beograd,9," Opština Rakovica, Vidikovac, Patrijarha Joanikija",159000,3.5,halooglasi,1828,Patrijarha Joanikija Vidikovac Rakovica Beograd...,Rakovica,44.733978,20.4206898
16,Beograd,0,"Dedinje, Savski Venac",53000,0.5,4zida,3313,Miće Orlovića,Savski Venac,44.7730345,20.4589093
47,Beograd,1," Opština Zvezdara, Đeram pijaca, Preševska 17-19",157000,2.0,halooglasi,3340,Novogradnja kod Đeram pijace - Preševska ulica,Zvezdara,44.8013233,20.4872447
76,Beograd,10," Opština Novi Beograd, Blok 63, Jurija Gagarina",172400,3.0,halooglasi,2268,"Trosoban sa lepim pogledom, Blok 63",Novi Beograd,44.8022565,20.3965658
64,Beograd,0.5," Opština Zemun, Cara Dušana",152300,2.0,halooglasi,2400,NOVO!Zemun-bez provizije za kupca,Zemun,44.8577423,20.3809578
32,Beograd,0," Opština Voždovac, TC Stadion, Mickijevičeva",59000,1.0,halooglasi,1844,"Micikijevićeva, TC Stadion, Voždovac ID#1211",Voždovac,44.7751305,20.489899
81,Beograd,4,"Saobraćajni fakultet, Voždovac, Voždovac opština",169000,2.5,4zida,2086,Milana Raspopovića,Voždovac,44.7658699,20.4829438
57,Beograd,0," Opština Zemun, Zemun polje, Dejana Dubajića",91200,2.5,halooglasi,1600,"Zemun polje, 57m2, 2.5 - odlična novogradnja",Zemun,44.8750324,20.3138761
83,Beograd,p," Opština Vračar, Crveni krst, Šumatovačka",350000,3.0,halooglasi,4217,"Crveni krst, Sumatovacka, 3.0, 83 m2",Vračar,44.7952892,20.4734779
92,Beograd,4," Opština Voždovac, Trošarina, Vojvode Stepe",207000,3.0,halooglasi,2250,"Vozdovac,Vojvode Stepe",Voždovac,44.7597229,20.4852768
63,Beograd,p," Opština Palilula, 27. marta, 27. marta",127000,2.5,halooglasi,2016,"Palilula 2,5, 63m2, 4/4, terasa",Palilula,44.8125831,20.4727432
42,Beograd,2," Opština Zvezdara, Veliki Mokri Lug, Cvetanova ćuprija",100000,2.0,halooglasi,2381,Dvosoban stan od 42 m2,Zvezdara,44.7594095,20.5185617
41,Beograd,2," Opština Savski venac, Beograd na vodi, Hercegovačka",201888,1.0,halooglasi,5003,BW Bella 40.35m2 ID#10263,Savski Venac,44.8100818,20.4501661
45,Beograd,3," Opština Savski venac, Dedinje, Mihajla Avramovića ",180000,2.0,halooglasi,4000,"Odličan, podno grejanje sa terasom",Savski Venac,44.7752073,20.4592289
91,Beograd,5,"Konjarnik, Zvezdara opština",226900,3.0,4zida,2493,Bulevar kralja Aleksandra,Zvezdara,44.7915673,20.5064332
59,Beograd,0.5," Opština Zvezdara, Mirijevo, Ljube Tadića",80000,2.5,halooglasi,1356,"Mirijevo, Ljube Tadića 43m2+16m2 terasa ID#124367",Zvezdara,44.796922,20.5337927
54,Beograd,1," Opština Zemun, Altina, Ugrinovački put 34. deo",72900,2.5,halooglasi,1350,54m2 Altina - opis u tekstu oglasa,Zemun,44.8596076,20.3500484
52,Beograd,1," Opština Čukarica, Julino brdo, Grigora Viteza",100000,2.0,halooglasi,1923,Prodaja dvosobn stana na Julinom b bez posrednika,Čukarica,44.7638412,20.4092521
44,Beograd,1," Opština Voždovac, Trošarina, ",131640,1.5,halooglasi,3000,"Lux novogradnja Trošarina, 43,88 m2 cena + Pdv",Voždovac,44.7613893,20.4808961
30,Beograd,2,"Lekino Brdo, Voždovac opština",116000,0.5,4zida,3867,Belička,Voždovac,44.7901269,20.4845469
