area,city,floor,location,price,rooms,source,square_price,title
51,Beograd,1," Opština Zemun , Zemun polje , Михајла Пупина 17 ",85000,2.0,halooglasi,1667,"Продајем  двособан стан 51м2, укњижен."
71,Beograd,0.5," Opština Rakovica , Stari Košutnjak , Pere Velimirovića ",170000,2.5,halooglasi,2394,Stari Košutnjak - Pere Velimirovića 71kvm
49,Vrnjačka Banja,2," Gradska lokacija , Centar ",98000,1.0,halooglasi,2000,"Vrnjačka banja, centar, jednosoban stan"
53,Kopaonik,2," Planina , Centar , Jovana Cvijića 44 - Vila Nikola ",300000,2.0,halooglasi,5660,Kopaonik – Centar - Jovana Cvijica 44 - Vila Nikol
103,Beograd,3," Opština Vračar , Čubura , Čuburska ",350000,3.0,halooglasi,3398,"Odličan stan nadomak Hrama, Čuburska, 103m2 ID#119"
96,Beograd,2," Opština Stari grad , London , Kneza Miloša ",285000,4.0,halooglasi,2969,"Dvor, četvorosoban salonac, renoviran! ID#1317"
59,Beograd,15," Opština Zvezdara , Konjarnik , Rudo ",126000,2.0,halooglasi,2136,"Odlična ponuda, stan, 59m2, Rudo, Konjarnik ID#122"
93,Beograd,p," Opština Palilula , Karaburma , Prominska ",210000,3.0,halooglasi,2258,Karaburma - Prominska
45,Rača,5," Gradska lokacija , Centar , Vojvode Pavla Cukica ",33127,2.0,halooglasi,736,"45m2 - Rača Residence, Šumadija, Centralna Srbija"
70,Pančevo,0," Gradska lokacija , Centar ,  ",96950,3.0,halooglasi,1385,70m2 – East District – Pančevo – Oslobođenja
77,Pančevo,0," Gradska lokacija , Centar ,  ",106645,3.0,halooglasi,1385,77m2 – East District – Pančevo – Oslobođenja
61,Beograd,p," Opština Novi Beograd , Ledine , Surčinski put ",109800,2.5,halooglasi,1800,Novogradnja-uknjizeno-odmah useljivo
91,Beograd,5," Opština Novi Beograd , Hotel Jugoslavija ,  ",370000,4.0,halooglasi,4066,Prelep lux stan u novogradnji
77,Pančevo,2," Gradska lokacija , Centar , Dimitrija Tucovića ",110000,3.0,halooglasi,1429,"Prodaja 3,0 stana u Dimitrija Tucovića u Pančevu I"
41,Pančevo,2," Gradska lokacija , Misa , Vojvođanska ",58999,1.5,halooglasi,1439,Novogradnja Lux stan 41m2 na RATE
885,Beograd,p," Opština Savski venac , Beograd na vodi , Hercegovačka ",7310888,6,halooglasi,8263,"BW Riviera, stan sa bazenom ID#9324"
57,Beograd,4," Opština Novi Beograd , Blok 2 , Pariske komune ",173500,2.0,halooglasi,3044,2.0 stan - Fontana Lux
134,Beograd,1," Opština Savski venac , Dedinje , Krupanjska ",450000,4.0,halooglasi,3358,"4.0, renoviran, savršena lokacija, uknjižen 134m2"
35,Beograd,0.5," Opština Zvezdara , Lipov lad , Subotička ",129000,1.5,halooglasi,3686,Namešten lep stan u kvalitetnoj zgradi
34,Beograd,p," Opština Palilula , Karaburma , Aleksandra Fleminga ",94900,1.0,halooglasi,2791,Lux Uknjizen stan sa namestajem 34m2
94,Beograd,3," Opština Palilula , Centar , Kneza Danila ",324300,3.0,halooglasi,3450,"Odličan, namešten stan sa garažom"
74,Beograd,5," Opština Voždovac , Banjica , Bulevar oslobođenja ",149900,3.0,halooglasi,2026,"SADRŽAJAN, Divan pogled i lokacija, Adaptibilan"
21,Beograd,2," Opština Vračar , Južni bulevar , Maksima Gorkog ",70000,1.0,halooglasi,3333,Centar-Juzni Bulevar ID#1185
100,Beograd,p," Opština Čukarica , Golf , Radovana Dragovića ",289000,3.5,halooglasi,2890,100m2 Košutnjak - Radovana Dragovića ID#1331
72,Beograd,4," Opština Vračar , Crveni krst , Grocanska ",223200,4.0,halooglasi,3100,Vracar Grocanska 17 novogradnja
65,Beograd,2," Opština Vračar , Maksima Gorkog , Riječka ",208000,2.0,halooglasi,3200,Novogradnja Vračar Knjeginje Julije 5 (Rijecka)
61,Beograd,1," Opština Palilula , Centar , Kneza Danila ",290000,2.0,halooglasi,4754,"Tašmajdan, lux, garažno mesto"
74,Novi Sad,7," Opština Novi Sad , Bulevar Oslobođenja ",139050,3.0,halooglasi,1879,Komforan trosoban stan idealnog rasporeda
79,Novi Sad,2," Opština Novi Sad , Liman 4 ",169950,3.0,halooglasi,2151,Trosoban stan na odličnoj lokaciji
29,Beograd,1," Opština Palilula , Hala Pionir , Dragoslava Srejovića ",101000,1.0,halooglasi,3483,Stan 29kvm
65,Novi Sad,4," Opština Novi Sad , Nova Detelinara ",154890,3.0,halooglasi,2383,Fantastičan trosoban stan
121,Novi Sad,1," Opština Novi Sad , Novo Naselje ",786950,4.0,halooglasi,6504,Četvorosoban stan
37,Novi Sad,0," Opština Novi Sad , Futog ",72100,1.5,halooglasi,1949,Jednoiposoban stan u Futogu
27,Novi Sad,0," Opština Novi Sad , Adice ",44560,0.5,halooglasi,1650,Luksuzno nameštena garsonjera
24,Novi Sad,0," Opština Novi Sad , Bulevar Oslobođenja ",82400,0.5,halooglasi,3433,Odlična garsonjera u novoj zgradi
45,Novi Sad,0," Opština Novi Sad , Nova Detelinara ",103000,2.0,halooglasi,2289,-Na jednoj od najtraženijih lokacija u gradu-
21,Vrnjačka Banja,1," Gradska lokacija , Snežnik ",49500,0.5,halooglasi,2357,Garsonjera kod Snežnika-21m2
31,Vrnjačka Banja,1," Gradska lokacija , Raj ",45138,1.5,halooglasi,1456,"Stan u izgradnji, 31,13m2"
60,Beograd,p," Opština Voždovac , Autokomanda , Vojvode Stepe ",170000,3.0,halooglasi,2833,"Autokomanda, novogradnja, uknjižen, ID 22209"
68,Beograd,4," Opština Novi Beograd , Blok 70 (kineski tržni centar) , Jurija Gagarina ",215000,2.5,halooglasi,3162,"Jurija Gagarina, Blok 70, Novi Beograd"
176,Beograd,p," Opština Novi Beograd , Blok 67a (A blok) , Uroša Martinovića ",695000,4.0,halooglasi,3949,"A blok, deluxe sređen stan, dve garaže, ID 21307"
98,Beograd,p," Opština Zemun , Kalvarija ",313600,3.0,halooglasi,3200,"Zemun, tek završena zgrada, ID 21978"
67,Beograd,2," Opština Zemun , Kalvarija , - ",213000,3.0,halooglasi,3179,"Zemun, lux, tek završena zgrada, ID 21981"
70,Beograd,1," Opština Novi Beograd , Blok 23 , Bulevar Milutina Milankovića ",195900,3.0,halooglasi,2799,"Blok 23 - Milutina Milankovića, trosoban, useljiv"
